,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,name,param_knn__n_neighbors,param_knn__weights,param_C,param_penalty,param_solver,param_lr__C,param_lr__penalty,param_lr__solver,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_max_features,param_min_samples_split,param_n_estimators,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,param_decision_function_shape,param_degree,param_gamma,param_kernel,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,model,norm_data,SS,Name,train_acc,val_acc,test_acc,train_f1,val_f1,test_f1,mean_val_test_acc,mean_val_test_f1
17,4.054321432113648,0.0302799338289069,0.0032267093658447,0.0039332698405007,,,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.0449101576463845,1,lr_param_tuning,,,1.0,l2,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,lr,False,False,LR,1.0,0.8064516129032258,1.0,1.0,0.7777777777777778,1.0,0.9032258064516129,0.8888888888888888
15,0.6201070308685303,0.0755064719918836,0.0025427341461181,0.0024058955167324,,,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.0118319395069432,1,mlp_norm_param_tuning,,,,,,,,,relu,0.0001,"(50, 10)",adaptive,,,,,,,,,,,,,,,,,,,,mlp,True,False,MLP_ND,1.0,0.6935483870967742,1.0,1.0,0.6724137931034483,1.0,0.8467741935483871,0.8362068965517242
18,1.058662223815918,0.6077366933064616,0.0017263412475585,0.000274094418547,,,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.4444444444444445,0.4528301886792452,0.4301075268817204,0.5,0.5517241379310344,0.4758212595872888,0.0446064965149557,1,mlp_param_tuning,,,,,,,,,relu,0.0001,"(100,)",constant,,,,,,,,,,,,,,,,,,,,mlp,False,False,MLP,1.0,0.7258064516129032,1.0,1.0,0.6666666666666667,1.0,0.8629032258064516,0.8333333333333334
5,0.2284396171569824,0.0025950126734475,0.0553021907806396,0.0008462971304906,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.0298561555798543,1,svc_norm_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovr,3.0,scale,poly,svc,True,True,SVC_SS_ND,1.0,0.7258064516129032,1.0,1.0,0.6666666666666667,1.0,0.8629032258064516,0.8333333333333334
13,0.2554856300354003,0.0109704135612074,0.0032500743865966,0.000104660314275,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.6521739130434783,0.6352941176470589,0.5684210526315789,0.6352941176470589,0.6593406593406594,0.6301047720619669,0.0322506556417201,3,rf_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,50.0,,,,,,,,,,,,,rf,False,False,RF,1.0,0.6048387096774194,1.0,1.0,0.6259541984732824,1.0,0.8024193548387097,0.8129770992366412
7,0.0071946144104003,0.0007207524266575,0.0063371658325195,0.0001475508617303,,,"{'knn__n_neighbors': 10, 'knn__weights': 'distance'}",0.6301369863013699,0.6394557823129251,0.6619718309859155,0.6814814814814815,0.7360000000000001,0.6698092162163385,0.0376141011263604,1,knn_norm_standard_scaler_param_tuning,10.0,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,True,True,KNN_SS_ND,1.0,0.5645161290322581,1.0,1.0,0.625,1.0,0.782258064516129,0.8125
11,0.0012662887573242,7.422218125616738e-05,0.0050157070159912,0.0001116797619767,10.0,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.619718309859155,0.5986394557823129,0.593103448275862,0.6762589928057553,0.6984126984126985,0.6372265810271568,0.0424490913158651,1,knn_norm_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,True,False,KNN_ND,1.0,0.5645161290322581,1.0,1.0,0.625,1.0,0.782258064516129,0.8125
3,0.2231478214263916,0.0011167610780573,0.050672960281372,0.0002316847873658,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.039196005969702,1,svc_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovr,3.0,auto,poly,svc,False,True,SVC_SS,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
8,0.0007606506347656,3.0736436464229415e-05,0.005861759185791,0.0001968768755838,10.0,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.6825396825396826,0.6412213740458015,0.6504065040650406,0.706896551724138,0.6608695652173914,0.6683867355184108,0.0236688203760754,1,knn_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,False,False,KNN,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
9,0.2222524166107177,0.0018166717840547,0.0516219615936279,0.0008355770249558,,,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6559999999999999,0.7058823529411766,0.5909090909090909,0.6776859504132231,0.7049180327868853,0.6670790854100752,0.0423664945226152,1,svc_norm_param_tuning,,,50.0,,,,,,,,,,,,,,,,,,,,ovo,3.0,scale,poly,,,,,,svc,True,False,SVC_ND,1.0,0.5887096774193549,1.0,1.0,0.6165413533834587,1.0,0.7943548387096775,0.8082706766917294
