,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,2.135357666015625,0.09723689996577382,0.0017324924468994141,0.0007986618658081248,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.5148514851485149,0.5252525252525252,0.5567010309278351,0.5656565656565656,0.5416666666666667,0.5408256547304214,0.018902321842109153,1
8,0.06895427703857422,0.00460106978651267,0.0012267589569091796,0.00041590710610842833,0.5,l1,liblinear,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.5283018867924528,0.5436893203883495,0.5434782608695652,0.5544554455445545,0.5263157894736842,0.5392481406137213,0.010544631782643388,2
2,0.12465457916259766,0.0016818059981286433,0.001127481460571289,0.0004271362101649113,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5148514851485149,0.5102040816326531,0.5567010309278351,0.5656565656565656,0.5473684210526315,0.53895631688364,0.022388727531966288,3
10,0.16350388526916504,0.006273549252496218,0.0014745712280273438,0.00022305529952097546,0.5,l2,liblinear,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.5148514851485149,0.5102040816326531,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.534888734507787,0.018935527369707886,4
19,4.0518310546875,0.021211920246517527,0.0015355587005615235,0.000329769857187106,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
35,4.108462715148926,0.030441316374992373,0.004591894149780273,0.004061146788970285,50,l2,saga,"{'C': 50, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
33,6.38757176399231,0.05053896816583318,0.0031032562255859375,0.002051999377465206,50,l1,saga,"{'C': 50, 'penalty': 'l1', 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
31,4.033683395385742,0.008678922086260137,0.001748943328857422,0.0005654291230635489,10,,saga,"{'C': 10, 'penalty': None, 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
27,4.049051332473755,0.00862961931902848,0.0015716552734375,0.00046514837875716964,10,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
23,4.043693733215332,0.01238944254504234,0.0038141727447509764,0.0038337547102635246,1,,saga,"{'C': 1, 'penalty': None, 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
15,4.088454246520996,0.04860092280258258,0.002054309844970703,0.0003825380921505663,0.5,,saga,"{'C': 0.5, 'penalty': None, 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
39,4.097310304641724,0.03902591839075319,0.0026292800903320312,0.0009211099437155889,50,,saga,"{'C': 50, 'penalty': None, 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
7,4.068612384796142,0.028515250457475598,0.001973533630371094,0.00046672129752585873,0.1,,saga,"{'C': 0.1, 'penalty': None, 'solver': 'saga'}",0.52,0.4999999999999999,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5338776211515535,0.021051052202185644,5
11,4.000742244720459,0.05136168761894352,0.003948879241943359,0.00427565818868957,0.5,l2,saga,"{'C': 0.5, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.49484536082474223,0.5567010309278351,0.5510204081632654,0.5416666666666667,0.5328466933165019,0.022743104732740764,14
9,6.783669567108154,0.05878030842083588,0.001736593246459961,0.0004177923914700343,0.5,l1,saga,"{'C': 0.5, 'penalty': 'l1', 'solver': 'saga'}",0.5050505050505051,0.5686274509803922,0.5263157894736843,0.5454545454545455,0.5,0.5290896581918254,0.0255453715527794,15
25,7.544220352172852,0.05237287456480705,0.002179384231567383,0.0006891461541246893,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.5050505050505051,0.536082474226804,0.5567010309278351,0.5208333333333334,0.5263157894736842,0.5289966266024323,0.017117162368039122,16
16,0.08786549568176269,0.00398256632725046,0.0011285781860351563,0.00017276716379633838,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5333333333333333,0.5142857142857142,0.5684210526315789,0.54,0.4835164835164836,0.527911316753422,0.028189116651965315,17
18,0.1555410385131836,0.008580436954171565,0.0009631633758544922,0.00020626254766108976,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5,0.4791666666666667,0.5567010309278351,0.5454545454545455,0.5263157894736842,0.5215276065045462,0.02860238435895434,18
24,0.08128485679626465,0.009468466923575468,0.0016364097595214845,0.00033270875254085155,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.4897959183673469,0.5294117647058824,0.5625,0.5242718446601942,0.49484536082474223,0.5201649777116332,0.02629823683353098,19
34,0.18798036575317384,0.0177594952598784,0.002487468719482422,0.0013354670900125622,50,l2,liblinear,"{'C': 50, 'penalty': 'l2', 'solver': 'liblinear'}",0.5148514851485149,0.49484536082474223,0.5510204081632654,0.5252525252525252,0.5106382978723404,0.5193216154522775,0.01862502757104781,20
0,0.027108192443847656,0.0038133491637433775,0.0031487464904785155,0.003870930473598352,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.54,0.5054945054945056,0.5263157894736843,0.4719101123595505,0.5346534653465347,0.515674774534855,0.024835949874471436,21
26,0.17482876777648926,0.018288513394455135,0.0013588428497314452,0.00045459596524505074,10,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.5,0.4791666666666667,0.5567010309278351,0.5252525252525252,0.5106382978723404,0.5143517041438734,0.02596166805172879,22
