,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,3.9845144748687744,0.14691275528449277,0.0022615909576416014,0.0005520042170819191,0.5,l2,saga,"{'lr__C': 0.5, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.5686274509803922,0.574074074074074,0.6019417475728156,0.5825242718446602,0.607843137254902,0.5870021363453689,0.01537760988825953,1
33,6.2887732028961185,0.12053252350283945,0.0022689342498779298,0.0008548753887118126,50,l1,saga,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.6019417475728155,0.5961538461538461,0.5862860620142173,0.015008383223847824,2
25,7.643424129486084,0.09304372919397177,0.0025630474090576174,0.0016043020927279854,10,l1,saga,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5490196078431373,0.5871559633027523,0.6095238095238096,0.5940594059405941,0.5882352941176471,0.5855988161455881,0.019956959143254287,3
19,4.07694640159607,0.013882598023590108,0.0038555145263671877,0.003828395809118731,1,l2,saga,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.607843137254902,0.5847404250887973,0.01581580077972396,4
27,4.071991586685181,0.00597893466332001,0.0037504196166992187,0.004124824761301421,10,l2,saga,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.6019417475728155,0.58356014715238,0.01418367143762803,5
2,0.13554072380065918,0.011260810078112927,0.0015167713165283204,0.00028598438853372145,0.1,l2,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.5631067961165048,0.5688073394495413,0.6037735849056604,0.5714285714285713,0.607843137254902,0.5829918858310359,0.01886686037863439,6
0,0.040357112884521484,0.01255656395092732,0.0034976482391357424,0.0012981980947882592,0.1,l1,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6391752577319586,0.5742574257425743,0.5742574257425743,0.5333333333333332,0.5925925925925927,0.5827232070286066,0.03425474369842918,7
7,4.066844463348389,0.02614361978610477,0.0031670570373535157,0.0019432033481968111,0.1,,saga,"{'lr__C': 0.1, 'lr__penalty': None, 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.5961538461538461,0.5824025668685862,0.012805473339230855,8
35,4.0199422359466555,0.002902144292898756,0.004538726806640625,0.004213715775945673,50,l2,saga,"{'lr__C': 50, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.5961538461538461,0.5824025668685862,0.012805473339230855,8
31,4.136224555969238,0.04675726669068348,0.0037662029266357423,0.003895023274030599,10,,saga,"{'lr__C': 10, 'lr__penalty': None, 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.5961538461538461,0.5824025668685862,0.012805473339230855,8
15,4.082569408416748,0.02996258933161069,0.001722240447998047,0.0002511782718230845,0.5,,saga,"{'lr__C': 0.5, 'lr__penalty': None, 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.5961538461538461,0.5824025668685862,0.012805473339230855,8
