,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,4.054321432113648,0.03027993382890697,0.0032267093658447264,0.003933269840500786,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
35,4.049915504455567,0.021174589424190662,0.0032951831817626953,0.003906330861245608,50,l2,saga,"{'C': 50, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
33,5.603564500808716,0.044453508372769256,0.00129852294921875,0.0001611726946991276,50,l1,saga,"{'C': 50, 'penalty': 'l1', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
31,4.066091632843017,0.01618044684006115,0.0017427921295166016,0.0011666799939250348,10,,saga,"{'C': 10, 'penalty': None, 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
27,4.093016195297241,0.013399034142955544,0.0012115955352783204,0.0001287955965782643,10,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
25,5.598316955566406,0.031004284664482913,0.0017150402069091796,0.0008697241880449095,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
23,4.1453633308410645,0.011625428614559622,0.0015667438507080077,0.000496831314396546,1,,saga,"{'C': 1, 'penalty': None, 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
17,5.572653818130493,0.022961047927451787,0.0013153553009033203,0.0003729978320060067,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
15,4.021731615066528,0.010588068597630573,0.002044534683227539,0.0019051248437532327,0.5,,saga,"{'C': 0.5, 'penalty': None, 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
11,4.021353149414063,0.0031206999082004703,0.001146221160888672,0.0002104710062833195,0.5,l2,saga,"{'C': 0.5, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
39,4.062054252624511,0.01952244581393418,0.002737617492675781,0.002906521635452949,50,,saga,"{'C': 50, 'penalty': None, 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
9,5.627311325073242,0.02725338782763078,0.0020609378814697267,0.001605777328883643,0.5,l1,saga,"{'C': 0.5, 'penalty': 'l1', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
7,4.046311950683593,0.02934863445663953,0.001294088363647461,0.0004759475133626887,0.1,,saga,"{'C': 0.1, 'penalty': None, 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
3,4.052447128295898,0.013521854163678508,0.004340982437133789,0.0037476367669987973,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.52,0.4897959183673469,0.5957446808510639,0.5,0.4631578947368421,0.5137396987910506,0.04491015764638453,1
1,6.140536880493164,0.0545597183741039,0.001447153091430664,0.00022763276011247504,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.52,0.49484536082474223,0.5957446808510639,0.5,0.4468085106382979,0.5114797104628208,0.048505731610324704,15
34,0.09417004585266113,0.0024401812413748594,0.0012917518615722656,0.000948334155021233,50,l2,liblinear,"{'C': 50, 'penalty': 'l2', 'solver': 'liblinear'}",0.5346534653465347,0.5,0.5454545454545455,0.48,0.49484536082474223,0.5109906743251644,0.024857892337930742,16
2,0.09550538063049316,0.0042809663100786014,0.001294708251953125,0.0004901095430473298,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5346534653465347,0.5,0.5454545454545455,0.48,0.49484536082474223,0.5109906743251644,0.024857892337930742,16
18,0.09422974586486817,0.003520870722141888,0.0011258125305175781,0.00035589136694674854,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5346534653465347,0.5,0.5454545454545455,0.48,0.49484536082474223,0.5109906743251644,0.024857892337930742,16
26,0.09781384468078613,0.006089131357385025,0.0012973785400390626,0.0008024921827073943,10,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.5346534653465347,0.5,0.5454545454545455,0.48,0.49484536082474223,0.5109906743251644,0.024857892337930742,16
10,0.09577226638793945,0.0046309201248532,0.0010865688323974609,0.00032547133520790855,0.5,l2,liblinear,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.5346534653465347,0.5,0.5454545454545455,0.48,0.49484536082474223,0.5109906743251644,0.024857892337930742,16
32,0.035586881637573245,0.0032312842755167913,0.0010068416595458984,0.0002627767335923048,50,l1,liblinear,"{'C': 50, 'penalty': 'l1', 'solver': 'liblinear'}",0.46464646464646464,0.5048543689320388,0.5490196078431373,0.48484848484848486,0.5384615384615384,0.5083660929463327,0.031734082967996985,21
24,0.03354687690734863,0.001586824741852943,0.0008913040161132813,0.00016502290371417063,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.5098039215686274,0.49019607843137253,0.5148514851485149,0.48484848484848486,0.5192307692307693,0.5037861478455538,0.01371507700609728,22
16,0.03879141807556152,0.006535110130674899,0.0009126663208007812,0.0003365191886907306,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5523809523809523,0.5,0.5154639175257731,0.49484536082474223,0.43298969072164945,0.4991359842906234,0.038719804122584495,23
8,0.04595060348510742,0.00678148009806558,0.0013702869415283202,0.0003978110294531004,0.5,l1,liblinear,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.5094339622641509,0.5050505050505051,0.5161290322580646,0.4752475247524752,0.4842105263157895,0.49801431012819714,0.015600837257128797,24
0,0.0682140827178955,0.008226926045631293,0.008592987060546875,0.010090172252148855,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.4791666666666667,0.5436893203883495,0.5360824742268041,0.46601941747572817,0.4285714285714286,0.4907058614657954,0.043519065223536345,25
22,0.0016685962677001954,2.9829813675248976e-05,0.0,0.0,1,,liblinear,"{'C': 1, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
21,0.003059244155883789,0.00067452863604664,0.0,0.0,1,elasticnet,saga,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
4,0.0020166873931884766,0.0015934214511636132,0.0,0.0,0.1,elasticnet,liblinear,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
28,0.0013264656066894532,0.000695541959416121,0.0,0.0,10,elasticnet,liblinear,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
29,0.002425670623779297,0.0003153322721129421,0.0,0.0,10,elasticnet,saga,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
30,0.0017147064208984375,7.488119922919846e-05,0.0,0.0,10,,liblinear,"{'C': 10, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
20,0.00085906982421875,0.0003236043139646558,0.0,0.0,1,elasticnet,liblinear,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
38,0.0017681598663330078,0.00014839877182959123,0.0,0.0,50,,liblinear,"{'C': 50, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
14,0.0015294551849365234,2.465068249809805e-05,0.0,0.0,0.5,,liblinear,"{'C': 0.5, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
13,0.0025855541229248048,0.0007313573540673456,0.0,0.0,0.5,elasticnet,saga,"{'C': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
12,0.0009003639221191406,0.00020997932360163497,0.0,0.0,0.5,elasticnet,liblinear,"{'C': 0.5, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
36,0.0008475303649902344,0.0002736286480154771,0.0,0.0,50,elasticnet,liblinear,"{'C': 50, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
37,0.0032393932342529297,0.0007010346154732961,0.0,0.0,50,elasticnet,saga,"{'C': 50, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
6,0.002480888366699219,0.0012481719510443296,0.0,0.0,0.1,,liblinear,"{'C': 0.1, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
5,0.0026113033294677735,0.0003637579569139332,0.0,0.0,0.1,elasticnet,saga,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
