,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,0.12667250633239746,0.004721720069686034,0.0013686656951904298,0.00033490957801378466,0.1,l2,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.6324786324786325,0.6181818181818183,0.6363636363636364,0.5961538461538461,0.6972477064220184,0.6360851279199903,0.03367189079456806,1
0,0.034028053283691406,0.004498654536195515,0.0016371726989746094,0.00034207173747220705,0.1,l1,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6213592233009708,0.6538461538461539,0.576923076923077,0.6250000000000001,0.7027027027027027,0.6359662313545809,0.04145639935142989,2
9,6.99253511428833,0.1549515286010514,0.004985237121582031,0.002453475103376607,0.5,l1,saga,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.6476190476190475,0.6153846153846153,0.6000000000000001,0.6391752577319586,0.6666666666666666,0.6337691174804576,0.02358660158837103,3
26,0.15847878456115722,0.00541991863592624,0.0014774322509765625,0.0005791216909490638,10,l2,liblinear,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.631578947368421,0.6000000000000001,0.6481481481481481,0.6019417475728155,0.6727272727272727,0.6308792231633316,0.02771594686501988,4
34,0.1685331344604492,0.004166254074582553,0.0015036582946777344,0.0006566778535688955,50,l2,liblinear,"{'lr__C': 50, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.631578947368421,0.6111111111111112,0.6422018348623854,0.6019417475728155,0.6666666666666666,0.6307000615162799,0.022967052555071674,5
19,4.092999649047852,0.032157498866919015,0.003734111785888672,0.003901309862437618,1,l2,saga,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.6260869565217391,0.6111111111111112,0.6296296296296297,0.6019417475728155,0.6728971962616822,0.6283333282193956,0.024436796881712495,6
25,7.351635122299195,0.1430153039596405,0.0018115043640136719,0.0002841357355073056,10,l1,saga,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.625,0.6055045871559633,0.6296296296296297,0.6019417475728155,0.6788990825688074,0.6281950093854431,0.027521839598240887,7
1,5.406249570846557,0.3587155912908311,0.004586601257324218,0.004120991769644565,0.1,l1,saga,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.6213592233009708,0.6407766990291262,0.5625,0.6236559139784946,0.6909090909090909,0.6278401854435365,0.0411676840547424,8
10,0.13784260749816896,0.0054986451444680754,0.003657245635986328,0.001794085031112702,0.5,l2,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.608695652173913,0.6055045871559633,0.6481481481481481,0.5961538461538461,0.6788990825688074,0.6274802632401355,0.03126721224367572,9
18,0.15332479476928712,0.006680296510185566,0.0020675182342529295,0.001219800539042915,1,l2,liblinear,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.608695652173913,0.6055045871559633,0.6481481481481481,0.5961538461538461,0.6788990825688074,0.6274802632401355,0.03126721224367572,9
39,11.944681787490845,15.853322763615372,0.0016392230987548827,0.0002046638520957199,50,,saga,"{'lr__C': 50, 'lr__penalty': None, 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
7,4.095330095291137,0.017101367079759493,0.006882381439208984,0.004356338776110309,0.1,,saga,"{'lr__C': 0.1, 'lr__penalty': None, 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
35,4.024453401565552,0.0058527110744417766,0.0014011383056640625,5.921626396212904e-05,50,l2,saga,"{'lr__C': 50, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
15,4.071107864379883,0.018149171699488292,0.006175088882446289,0.0022673603432912795,0.5,,saga,"{'lr__C': 0.5, 'lr__penalty': None, 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
23,4.076736831665039,0.015166015597761963,0.002465057373046875,0.0015509720035273174,1,,saga,"{'lr__C': 1, 'lr__penalty': None, 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
27,4.028619575500488,0.006933052189367871,0.0016795635223388673,0.0002508686286767056,10,l2,saga,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
31,4.022482967376709,0.008938312654655499,0.001821613311767578,0.0007562313307402697,10,,saga,"{'lr__C': 10, 'lr__penalty': None, 'lr__solver': 'saga'}",0.6206896551724138,0.6111111111111112,0.6363636363636364,0.5961538461538461,0.6728971962616822,0.627443089012538,0.026218356624074363,11
11,3.9947010040283204,0.1798358393728266,0.00792398452758789,0.0025099026910307244,0.5,l2,saga,"{'lr__C': 0.5, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.631578947368421,0.6111111111111112,0.6168224299065421,0.6019417475728155,0.6728971962616822,0.6268702864441144,0.024945504578935435,18
33,6.1087761402130125,0.14336708053510397,0.0035599231719970702,0.003990612978516301,50,l1,saga,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.6260869565217391,0.6111111111111112,0.6238532110091743,0.5961538461538461,0.6666666666666666,0.6247743582925074,0.023508955595533437,19
3,3.187830352783203,0.35006471623063956,0.0077956199645996095,0.0029008782343269424,0.1,l2,saga,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.6486486486486487,0.6037735849056605,0.5825242718446602,0.5918367346938774,0.6796116504854369,0.6212789781156568,0.036951349848631396,20
8,0.0563082218170166,0.0045415570741798965,0.001710796356201172,0.0008231016370341736,0.5,l1,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6181818181818183,0.5981308411214953,0.5714285714285715,0.66,0.6476190476190475,0.6190720556701865,0.03224672373012081,21
17,7.328988027572632,0.0987219252019972,0.006269216537475586,0.0038695705251048404,1,l1,saga,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.6476190476190475,0.6095238095238096,0.5940594059405941,0.6041666666666666,0.6285714285714286,0.6167880716643093,0.019068603475152573,22
24,0.0739133358001709,0.007660971063483846,0.0018672466278076172,0.000597518236754414,10,l1,liblinear,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5925925925925927,0.625,0.5940594059405941,0.62,0.5981308411214953,0.6059565679309364,0.01372042703134092,23
16,0.06554646492004394,0.009287977668455818,0.0019837379455566405,0.000623726600089761,1,l1,liblinear,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5871559633027523,0.5925925925925927,0.5833333333333334,0.6391752577319586,0.6181818181818183,0.604087793028491,0.02135109277063127,24
32,0.06436243057250976,0.002858669873403188,0.0015185356140136718,0.00037633752757353214,50,l1,liblinear,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5849056603773586,0.5945945945945946,0.5858585858585857,0.5918367346938774,0.6226415094339622,0.5959674169916758,0.013820313393484508,25
30,0.006681489944458008,0.0014098641797171735,0.0,0.0,10,,liblinear,"{'lr__C': 10, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
36,0.006918907165527344,0.001316888069818268,0.0,0.0,50,elasticnet,liblinear,"{'lr__C': 50, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
37,0.007404470443725586,0.0012514954957928478,0.0,0.0,50,elasticnet,saga,"{'lr__C': 50, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
29,0.008109426498413086,0.001605123902978835,0.0,0.0,10,elasticnet,saga,"{'lr__C': 10, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
