,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09441337585449219,0.0006104384598861757,0.02332005500793457,0.00041159205771608306,0.1,ovo,3,auto,linear,"{'svc__C': 0.1, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
217,0.09438281059265137,0.0011230179631357457,0.022902441024780274,6.685069893737985e-05,10,ovo,20,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
216,0.09361581802368164,0.0009424253118924449,0.023099851608276368,0.0003433458466180957,10,ovo,20,auto,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
215,0.09693942070007325,0.0011276187065017665,0.02339448928833008,0.00012298171108050384,10,ovo,10,scale,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
214,0.09836416244506836,0.0010093705972201608,0.035360193252563475,0.00037873370559700256,10,ovo,10,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
213,0.09443387985229493,0.0008073146085835442,0.02285761833190918,0.0001258551497157798,10,ovo,10,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
212,0.09387006759643554,0.0010056298463352082,0.022960948944091796,0.00024643843925224523,10,ovo,10,scale,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
211,0.09613399505615235,0.0008945075984373898,0.02337498664855957,0.0002481641440283606,10,ovo,10,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
218,0.09704999923706055,0.000940218621310728,0.0350308895111084,0.00017267533034870085,10,ovo,20,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
210,0.09734854698181153,0.0007388811348221508,0.03502535820007324,9.401639974362458e-05,10,ovo,10,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
208,0.09483904838562011,0.001619238959885998,0.02325267791748047,0.0005590493912232006,10,ovo,10,auto,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
207,0.09693074226379395,0.0009888226772966332,0.023323488235473634,0.0001519999801103766,10,ovo,5,scale,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
206,0.10001516342163086,0.0023534287532981477,0.03578286170959473,0.0007237853940222745,10,ovo,5,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
205,0.09527902603149414,0.001957741107584977,0.023156452178955077,0.0004361065007189817,10,ovo,5,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
204,0.09299707412719727,0.000171420073451781,0.022725486755371095,6.894752025741946e-05,10,ovo,5,scale,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
203,0.09671664237976074,0.0012278821997880854,0.023387622833251954,0.00025808845436302524,10,ovo,5,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
202,0.09912238121032715,0.0013468090134901886,0.03559145927429199,0.000327097382304685,10,ovo,5,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
209,0.09477558135986328,0.0014450616801777684,0.02317047119140625,0.00033279356553046757,10,ovo,10,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
201,0.09485254287719727,0.0019295542024976274,0.023310279846191405,0.00046923317006960315,10,ovo,5,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
219,0.0965188980102539,0.0008884811659327262,0.02346029281616211,0.00030904542764046696,10,ovo,20,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
221,0.09493517875671387,0.0010363984826221005,0.02320575714111328,0.00037442615768949994,10,ovo,20,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
237,0.0946582317352295,0.0010237659206429701,0.023040008544921876,0.0003453930515022783,10,ovr,5,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
236,0.09484343528747559,0.0009165355029071368,0.02319474220275879,0.0003238805399366241,10,ovr,5,scale,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
235,0.09655418395996093,0.0007995146221110371,0.023528671264648436,0.0004228879904156767,10,ovr,5,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
234,0.09715752601623535,0.0006379559663803908,0.03495697975158692,0.000156953136322249,10,ovr,5,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
