strain_slug,strain_category,strain_popularity
ak-47,Hybrid,0.2275637930701509
chemdawg,Hybrid,0.2884641382107316
mr-nice,Indica,0.0400125806638507
super-silver-haze,Sativa,0.2113992953724676
northern-lights--5,Indica,0.0131076170953564
snowcap,Hybrid,0.0345223348167113
blue-cheese,Indica,0.1873332579229213
mk-ultra,Indica,0.0605582393692011
granddaddy-purple,Indica,0.4815249088867492
g-13,Indica,0.1441092972761207
sour-diesel,Sativa,0.6214792763911152
cinderella-99,Hybrid,0.1246092683074868
strawberry-cough,Sativa,0.2469755366784289
la-confidential,Indica,0.139736413020987
og-kush,Hybrid,0.5785174129078715
haze,Sativa,0.0843897688303017
northern-lights,Indica,0.331111485097707
white-widow,Hybrid,0.4257782216569507
big-bud,Indica,0.0461401364560601
hash-plant,Indica,0.0369336287214348
white-russian,Hybrid,0.044928971668676
hindu-kush,Indica,0.0945618976938208
jack-herer,Sativa,0.4871834487020673
green-crack,Sativa,0.4318340455938708
bubba-kush,Indica,0.3158822604362952
purple-urkle,Indica,0.0995527794714465
trainwreck,Hybrid,0.2535665906125073
purple-trainwreck,Hybrid,0.0447937847106309
shiva-skunk,Indica,0.016663861767197
grape-ape,Indica,0.1880257462182138
skunky-diesel,Hybrid,0.0008828536035601
silver-haze,Sativa,0.0850463911979495
purple-haze,Sativa,0.1499526845646842
kali-mist,Sativa,0.0272277569172959
maui-wowie,Sativa,0.150741734972866
cracker-jack,Sativa,0.0054874869296282
nyc-diesel,Hybrid,0.0766454873765729
hollands-hope,Indica,0.004381161007667
afghan-kush,Indica,0.0840062792962553
jack-flash,Hybrid,0.0129448409622
super-skunk,Indica,0.0656981026924276
jamaican-pearl,Sativa,0.0042570097196663
mexican-sativa,Sativa,0.0056668165678514
durban-poison,Sativa,0.3430796692609688
orange-velvet,Hybrid,0.006317921100477
rocklock,Indica,0.0021326432360998
maple-leaf-indica,Indica,0.0060006455866976
skydog,Indica,0.0018981352476542
super-green-crack,Sativa,0.0065910539340784
purple-afghani,Indica,0.0182695517586719
silver-surfer,Hybrid,0.0054902458471394
jack-kush,Hybrid,0.0021602324112111
afghan-diesel,Hybrid,0.0017022521043643
fpog,Hybrid,0.1611704431649198
afghani,Indica,0.079398887052676
misty-kush,Indica,0.0021298843185887
blueberry-haze,Hybrid,0.0208988001467744
pot-of-gold,Indica,0.0130689922502007
blue-dream,Hybrid,0.9005410237239316
pineapple-thai,Sativa,0.0028030601913033
sour-chocolate,Sativa,0.000375212781513
sage-n-sour,Sativa,0.0192489674751214
bubble-gum,Hybrid,0.1807753109989764
bubblegun,Hybrid,0.0006593812851589
martian-mean-green,Hybrid,0.0039066271957534
jack-the-ripper,Sativa,0.0262290287782685
richie-rich,Hybrid,0.0020278043706771
mako-haze,Sativa,0.0019202065877432
old-lyme-connecticut-og,Hybrid,0.0
m-39,Indica,0.006450349141011
