,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,2.487158107757568,0.009981704837026768,0.0023522377014160156,0.0015729762848933494,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.6323529411764707,0.6013986013986014,0.6917293233082707,0.625,0.6142857142857143,0.6329533160338114,0.031184656765035602,1
9,2.462932014465332,0.010159929778255312,0.0020464420318603515,0.0013598749665726909,0.5,l1,saga,"{'C': 0.5, 'penalty': 'l1', 'solver': 'saga'}",0.6323529411764707,0.6013986013986014,0.6917293233082707,0.625,0.6142857142857143,0.6329533160338114,0.031184656765035602,1
19,1.788926601409912,0.008693913323496581,0.003970813751220703,0.0028820816967718584,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
35,1.790197229385376,0.011977491443855525,0.00224456787109375,0.001148690773527808,50,l2,saga,"{'C': 50, 'penalty': 'l2', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
33,2.447240114212036,0.01909452076968132,0.0022918701171875,0.00011346814852438762,50,l1,saga,"{'C': 50, 'penalty': 'l1', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
31,1.7909873962402343,0.007325466124913424,0.001899576187133789,0.0008130185078949403,10,,saga,"{'C': 10, 'penalty': None, 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
27,1.774010133743286,0.004199320538533468,0.0027974128723144533,0.0021755227326885154,10,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
25,2.452469491958618,0.0135759159936907,0.001625204086303711,0.0006951137828637597,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
23,1.7962603092193603,0.01825374995871797,0.0023096084594726564,0.0011643930141252306,1,,saga,"{'C': 1, 'penalty': None, 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
15,1.7744456291198731,0.00799312237853201,0.001273965835571289,0.0004536845484910475,0.5,,saga,"{'C': 0.5, 'penalty': None, 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
11,1.773763942718506,0.004887964781128189,0.0017407894134521484,0.0006886167278676006,0.5,l2,saga,"{'C': 0.5, 'penalty': 'l2', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
39,1.7806288719177246,0.010040804824651329,0.003833436965942383,0.004906205333316113,50,,saga,"{'C': 50, 'penalty': None, 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
3,1.7850892543792725,0.003821876080185426,0.0026889801025390624,0.001371729691718998,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
7,1.794263982772827,0.014845181739078365,0.002605724334716797,0.001845404678607346,0.1,,saga,"{'C': 0.1, 'penalty': None, 'solver': 'saga'}",0.6370370370370371,0.6013986013986014,0.6865671641791045,0.625,0.6142857142857143,0.6328577033800914,0.02932067662230785,3
1,2.6122167110443115,0.012461834987383211,0.0032547473907470702,0.0027475422374498076,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.6323529411764707,0.5957446808510639,0.6917293233082707,0.625,0.6099290780141844,0.6309512046699979,0.03290225079234545,15
34,0.0708092212677002,0.00369126664402795,0.0009586811065673828,0.00023078952939031394,50,l2,liblinear,"{'C': 50, 'penalty': 'l2', 'solver': 'liblinear'}",0.5957446808510639,0.5874125874125874,0.6666666666666667,0.6259541984732825,0.5899280575539568,0.6131412381915115,0.03010846684288742,16
26,0.06999878883361817,0.003235405404030252,0.0013885021209716797,0.0004185680648843447,10,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.5957446808510639,0.5874125874125874,0.6666666666666667,0.6259541984732825,0.5899280575539568,0.6131412381915115,0.03010846684288742,16
10,0.07290844917297364,0.0032725644301232117,0.0012659549713134766,0.00031796542180960214,0.5,l2,liblinear,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.5957446808510639,0.5874125874125874,0.6666666666666667,0.6259541984732825,0.5899280575539568,0.6131412381915115,0.03010846684288742,16
18,0.07450666427612304,0.005400468491477035,0.001312112808227539,0.0003843337844558419,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5957446808510639,0.5874125874125874,0.6666666666666667,0.6259541984732825,0.5899280575539568,0.6131412381915115,0.03010846684288742,16
2,0.07070803642272949,0.0018165535896202225,0.0011859893798828124,0.0004892991862189844,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5957446808510639,0.5874125874125874,0.6666666666666667,0.6212121212121212,0.5899280575539568,0.6121928227392792,0.02976262293665065,20
0,0.040617179870605466,0.004123641897382492,0.0014615535736083984,0.0005592481784230611,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6013986013986014,0.564885496183206,0.6363636363636364,0.546875,0.6106870229007633,0.5920419513692414,0.03217801705261661,21
8,0.032715225219726564,0.0031169764036213373,0.002065134048461914,0.0009606808582229309,0.5,l1,liblinear,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.6068965517241379,0.5899280575539568,0.6412213740458015,0.5303030303030304,0.5882352941176471,0.5913168615489147,0.03596470367229233,22
16,0.023601818084716796,0.0015829218655777685,0.0027334213256835936,0.0014870425256155756,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.589041095890411,0.5673758865248227,0.6285714285714286,0.5223880597014926,0.5972222222222222,0.5809197385820755,0.03524713984804083,23
24,0.017824172973632812,0.000788600739718271,0.0012654781341552735,0.0004908882428577563,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.5697674418604652,0.5697674418604652,0.5614035087719298,0.5680473372781065,0.5730994152046783,0.568417028995129,0.0038703516200977992,24
32,0.019409036636352538,0.004306496712075907,0.001206207275390625,0.0005991245593104438,50,l1,liblinear,"{'C': 50, 'penalty': 'l1', 'solver': 'liblinear'}",0.5529411764705883,0.5529411764705883,0.5764705882352941,0.5389221556886228,0.5647058823529413,0.5571961958436069,0.012633673391794697,25
36,0.00042972564697265627,0.00013611212902238083,0.0,0.0,50,elasticnet,liblinear,"{'C': 50, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
37,0.001306295394897461,0.00040077591562365065,0.0,0.0,50,elasticnet,saga,"{'C': 50, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
30,0.0007204532623291016,1.4368868857689265e-05,0.0,0.0,10,,liblinear,"{'C': 10, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
29,0.0009628772735595703,4.2790549346757986e-05,0.0,0.0,10,elasticnet,saga,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
12,0.0003696441650390625,5.899587648217676e-05,0.0,0.0,0.5,elasticnet,liblinear,"{'C': 0.5, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
4,0.00048379898071289064,0.0001377242747222592,0.0,0.0,0.1,elasticnet,liblinear,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
6,0.000778961181640625,2.214927847771424e-05,0.0,0.0,0.1,,liblinear,"{'C': 0.1, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
22,0.0007711410522460938,1.704024137040124e-05,0.0,0.0,1,,liblinear,"{'C': 1, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
21,0.0010204792022705078,4.0413011126222814e-05,0.0,0.0,1,elasticnet,saga,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
20,0.00038123130798339844,7.27052365294749e-05,0.0,0.0,1,elasticnet,liblinear,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
38,0.0010644912719726563,0.00020363533918750227,0.0,0.0,50,,liblinear,"{'C': 50, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
14,0.0011731624603271485,0.00011416905616271212,0.0,0.0,0.5,,liblinear,"{'C': 0.5, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
13,0.0012375831604003907,0.0005503547271136456,0.0,0.0,0.5,elasticnet,saga,"{'C': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
28,0.0003889560699462891,8.853526828134937e-05,0.0,0.0,10,elasticnet,liblinear,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
5,0.0010380744934082031,5.810823773299814e-05,0.0,0.0,0.1,elasticnet,saga,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
