,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.014650535583496094,0.0009961778460655264,0.004567623138427734,0.004259138284975436,0.1,l1,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6185567010309279,0.6857142857142857,0.5599999999999999,0.631578947368421,0.6464646464646464,0.6284629161156561,0.04097998352271296,1
8,0.029851675033569336,0.0031856322905895766,0.0026805877685546877,0.0016789470156327061,0.5,l1,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5714285714285713,0.6476190476190475,0.6019417475728156,0.574468085106383,0.6336633663366336,0.6058241636126901,0.030669747676517572,2
1,0.18082761764526367,0.007843509173479377,0.0019110679626464845,0.0007506355429328682,0.1,l1,saga,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5806451612903226,0.64,0.5208333333333333,0.6222222222222222,0.6185567010309279,0.5964514835753613,0.042466903259253924,3
9,0.8786752223968506,0.06320997619049558,0.0033197402954101562,0.0018089356929119245,0.5,l1,saga,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5631067961165048,0.6407766990291262,0.6060606060606061,0.5494505494505494,0.6060606060606062,0.5930910513434785,0.03290558816159923,4
16,0.030361509323120116,0.0025389638146048965,0.0010652542114257812,0.0001277134245881101,1,l1,liblinear,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5576923076923077,0.6601941747572816,0.5454545454545455,0.5000000000000001,0.6060606060606062,0.5738803267929482,0.054797865685241254,5
17,1.5264672756195068,0.09547058149242453,0.004867839813232422,0.003749167864861422,1,l1,saga,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5576923076923077,0.6138613861386139,0.5360824742268041,0.48888888888888893,0.6060606060606062,0.5605171326014441,0.0461637407998119,6
24,0.0383030891418457,0.005016228760549713,0.0021608352661132814,0.0008812528571670344,10,l1,liblinear,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5242718446601942,0.6530612244897959,0.5263157894736843,0.4835164835164836,0.5979381443298969,0.557020697294011,0.06052465364149965,7
32,0.03384561538696289,0.003078504559701889,0.0032644748687744142,0.0021065155776466065,50,l1,liblinear,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5242718446601942,0.6185567010309279,0.48979591836734687,0.5000000000000001,0.5894736842105264,0.5444196296537991,0.05077196028875174,8
25,2.9942705154418947,0.025890612515016762,0.0021346569061279296,0.0006209194996336518,10,l1,saga,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5000000000000001,0.4835164835164836,0.4827586206896552,0.5432098765432098,0.5111111111111112,0.504119218372092,0.02224716564959922,9
33,3.1342997550964355,0.02842217264862723,0.003866147994995117,0.003838480485148385,50,l1,saga,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.24137931034482757,0.19672131147540983,0.2903225806451613,0.2622950819672131,0.3,0.25814365688652235,0.037036249146127374,10
