,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
129,0.09147152900695801,0.00023512736316204323,0.02049846649169922,7.043441706538263e-05,1,ovo,3,auto,poly,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
161,0.09209957122802734,0.0007022877447866069,0.020784664154052734,0.0003081996091850546,1,ovr,3,auto,poly,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
225,0.09444689750671387,0.0012866567823843524,0.02194390296936035,0.0010570361698128698,10,ovr,3,auto,poly,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
289,0.09532623291015625,0.001645735788729723,0.02196183204650879,0.0008144529500944749,50,ovr,3,auto,poly,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
257,0.09129514694213867,0.00036196301942544436,0.02049283981323242,6.575503151704799e-05,50,ovo,3,auto,poly,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
193,0.09298820495605468,0.0016232463225255476,0.02089838981628418,0.0005458969030181147,10,ovo,3,auto,poly,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
65,0.09361081123352051,0.000789721909374215,0.021198177337646486,0.0003577388464080128,0.5,ovo,3,auto,poly,"{'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
33,0.0920644760131836,0.0008648515778699655,0.020639991760253905,0.00017744337627426584,0.1,ovr,3,auto,poly,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
97,0.09333615303039551,0.0008164073851343784,0.021056175231933594,0.0006258291059765346,0.5,ovr,3,auto,poly,"{'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
1,0.09367384910583496,0.0013782994315351114,0.021639060974121094,0.000582693746943133,0.1,ovo,3,auto,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
261,0.09172964096069336,0.00027345906359133536,0.020523738861083985,7.19358123581325e-05,50,ovo,3,scale,poly,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
293,0.09448227882385254,0.0005148310257118218,0.021244001388549805,0.000518639150757916,50,ovr,3,scale,poly,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.7008547008547008,0.6902654867256637,0.6611570247933883,0.5977011494252874,0.7234042553191491,0.6746765234236379,0.043383613615106315,1
197,0.09424147605895997,0.0009473957043580674,0.021334123611450196,0.000361839337093259,10,ovo,3,scale,poly,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6614173228346457,0.6923076923076923,0.6438356164383561,0.6415094339622641,0.7155963302752293,0.6709332791636374,0.02878281809799788,13
229,0.0931541919708252,0.0005451693222447014,0.021103382110595703,0.00017606872272505668,10,ovr,3,scale,poly,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6614173228346457,0.6923076923076923,0.6438356164383561,0.6415094339622641,0.7155963302752293,0.6709332791636374,0.02878281809799788,13
174,0.0829383373260498,0.002739614054683947,0.03025984764099121,0.00048277300312707345,1,ovr,5,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
158,0.08325395584106446,0.001901811559169319,0.03036184310913086,0.0010472382561715005,1,ovo,20,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
182,0.08503842353820801,0.0032197052076313438,0.030950069427490234,0.0007175894336112,1,ovr,10,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
166,0.08208942413330078,0.0024748208111335214,0.02976360321044922,0.0005515319546700921,1,ovr,3,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
190,0.08201556205749512,0.002297964228043112,0.029511022567749023,0.0007592242860961459,1,ovr,20,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
150,0.08223147392272949,0.002280254781736242,0.029903650283813477,0.0010336220909072228,1,ovo,10,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
142,0.08427138328552246,0.0019645298530308027,0.030544233322143555,0.0007071013604646948,1,ovo,5,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
134,0.08216462135314942,0.0021787983181139605,0.029569005966186522,0.0007283965275617333,1,ovo,3,scale,rbf,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6530612244897959,0.631578947368421,0.5567010309278351,0.6987951807228915,0.7608695652173915,0.6602011897452671,0.06812651862166373,15
246,0.09523115158081055,0.0018688798318395252,0.032126331329345705,0.0007132497250057052,10,ovr,10,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6862745098039216,0.6041666666666666,0.5842696629213484,0.6588235294117648,0.7555555555555556,0.6578179848718515,0.06107575175316665,23
