,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
229,0.2284396171569824,0.0025950126734475215,0.05530219078063965,0.0008462971304906507,10,ovr,3,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.029856155579854354,1
193,0.22584805488586426,0.001262418443440556,0.05441136360168457,0.0004833295952539385,10,ovo,3,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.029856155579854354,1
197,0.22727618217468262,0.000556652958842042,0.05482478141784668,0.0004520481245966052,10,ovo,3,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.029856155579854354,1
225,0.22512340545654297,0.0009509000958581182,0.054639434814453124,0.0006002066311749369,10,ovr,3,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.029856155579854354,1
289,0.22316813468933105,0.000380188907688243,0.05401144027709961,0.00021388570994695472,50,ovr,3,auto,poly,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6762589928057553,0.6176470588235294,0.647887323943662,0.7058823529411763,0.6923076923076923,0.667996684164363,0.03173038260136576,5
257,0.22333097457885742,0.00047885565303446085,0.05401482582092285,0.00022696660332651206,50,ovo,3,auto,poly,"{'svc__C': 50, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6762589928057553,0.6176470588235294,0.647887323943662,0.7058823529411763,0.6923076923076923,0.667996684164363,0.03173038260136576,5
261,0.22430262565612794,0.0004908220070985737,0.05413355827331543,0.00017642714524281595,50,ovo,3,scale,poly,"{'svc__C': 50, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6762589928057553,0.6176470588235294,0.647887323943662,0.7058823529411763,0.6923076923076923,0.667996684164363,0.03173038260136576,5
293,0.22447361946105956,0.00036008965369613895,0.054069232940673825,0.00021498484475880676,50,ovr,3,scale,poly,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6762589928057553,0.6176470588235294,0.647887323943662,0.7058823529411763,0.6923076923076923,0.667996684164363,0.03173038260136576,5
318,0.2250607967376709,0.00040466775246881127,0.07203807830810546,0.0004192823898961179,50,ovr,20,scale,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.6526315789473685,0.6451612903225806,0.625,0.6741573033707865,0.702127659574468,0.6598155664430407,0.026360879328921057,9
274,0.22428083419799805,0.0008391918909038623,0.07196059226989746,0.00042602326282780063,50,ovo,10,auto,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovo', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.6526315789473685,0.6451612903225806,0.625,0.6741573033707865,0.702127659574468,0.6598155664430407,0.026360879328921057,9
