,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,name,param_knn__n_neighbors,param_knn__weights,param_C,param_penalty,param_solver,param_lr__C,param_lr__penalty,param_lr__solver,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_max_features,param_min_samples_split,param_n_estimators,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,param_decision_function_shape,param_degree,param_gamma,param_kernel,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,model,norm_data,SS,Name,train_acc,val_acc,test_acc,train_f1,val_f1,test_f1,mean_val_test_acc,mean_val_test_f1
88,0.2745213985443115,0.0049812805414689,0.0032047748565673,9.515875396851976e-05,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.693069306930693,0.7474747474747474,0.7872340425531916,0.7415730337078651,0.8000000000000002,0.7538702261332995,0.0377623493649302,10,rf_norm_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,50.0,,,,,,,,,,,,,rf,True,False,RF_ND,1.0,0.8064516129032258,1.0,1.0,0.7777777777777778,1.0,0.9032258064516129,0.8888888888888888
90,0.817716407775879,0.0095534806508542,0.0077999114990234,0.0001844554671269,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6666666666666666,0.7524752475247525,0.8041237113402062,0.7999999999999999,0.8000000000000002,0.7646531251063251,0.052547839245935,9,rf_norm_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,150.0,,,,,,,,,,,,,rf,True,False,RF_ND,1.0,0.7983870967741935,1.0,1.0,0.7706422018348624,1.0,0.8991935483870968,0.8853211009174312
92,0.5457856178283691,0.0097819538738058,0.0053932189941406,1.8604839184315726e-05,,,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.712871287128713,0.7547169811320756,0.7755102040816325,0.8247422680412372,0.8118811881188118,0.775944385700494,0.0402534323277638,2,rf_norm_param_tuning,,,,,,,,,,,,,,,,,sqrt,4.0,100.0,,,,,,,,,,,,,rf,True,False,RF_ND,1.0,0.7983870967741935,1.0,1.0,0.7663551401869159,1.0,0.8991935483870968,0.8831775700934579
93,0.5436434268951416,0.0077899033328322,0.005527114868164,0.000147628707171,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.7,0.7450980392156863,0.8080808080808081,0.8210526315789474,0.8080808080808082,0.77646245739125,0.0465144234674478,1,rf_norm_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,100.0,,,,,,,,,,,,,rf,True,False,RF_ND,1.0,0.7983870967741935,1.0,1.0,0.7663551401869159,1.0,0.8991935483870968,0.8831775700934579
85,0.2757295131683349,0.0057536905433449,0.0031569480895996,1.3978243604093722e-05,,,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.6666666666666666,0.76,0.7551020408163265,0.7872340425531915,0.7916666666666667,0.7521338833405702,0.0451003170949918,12,rf_norm_param_tuning,,,,,,,,,,,,,,,,,sqrt,4.0,50.0,,,,,,,,,,,,,rf,True,False,RF_ND,1.0,0.782258064516129,1.0,1.0,0.7428571428571428,1.0,0.8911290322580645,0.8714285714285714
25,0.2285541534423828,0.0029451852098395,0.0031758785247802,2.3378932470302567e-05,,,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.6236559139784946,0.6516853932584269,0.5161290322580646,0.5952380952380952,0.7111111111111111,0.6195639091688385,0.0643738198522959,8,rf_param_tuning,,,,,,,,,,,,,,,,,sqrt,4.0,50.0,,,,,,,,,,,,,rf,False,False,RF,1.0,0.7338709677419355,1.0,1.0,0.6915887850467289,1.0,0.8669354838709677,0.8457943925233644
86,0.2903481006622314,0.015659350696482,0.0044244766235351,0.0004278895150466,,,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 50}",0.6666666666666666,0.76,0.7551020408163265,0.7872340425531915,0.7916666666666667,0.7521338833405702,0.0451003170949918,12,rf_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,sqrt,4.0,50.0,,,,,,,,,,rf,False,True,RF_SS,1.0,0.7338709677419355,1.0,1.0,0.6915887850467289,1.0,0.8669354838709677,0.8457943925233644
54,0.0007889747619628,7.175447077652133e-05,0.0083158493041992,0.007137258261376,10.0,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.6666666666666666,0.6099290780141844,0.65625,0.6991869918699187,0.6890756302521008,0.6642216733605741,0.0311689080639894,2,knn_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,False,False,KNN,1.0,0.6209677419354839,1.0,1.0,0.6758620689655174,1.0,0.810483870967742,0.8379310344827586
83,0.0094137668609619,0.0003272359539917,0.006833267211914,0.0005780646817101,,,"{'knn__n_neighbors': 10, 'knn__weights': 'distance'}",0.6875,0.6666666666666667,0.6929133858267716,0.6909090909090909,0.6722689075630253,0.6820516101931109,0.0105689719849975,2,knn_standard_scaler_param_tuning,10.0,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,False,True,KNN_SS,1.0,0.6209677419354839,1.0,1.0,0.6758620689655174,1.0,0.810483870967742,0.8379310344827586
81,0.2247293949127197,0.0024592896039421,0.0516402244567871,0.000662189727614,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.039196005969702,1,svc_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovo,3.0,auto,poly,svc,False,True,SVC_SS,1.0,0.6935483870967742,1.0,1.0,0.6724137931034483,1.0,0.8467741935483871,0.8362068965517242
