,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.6201070308685303,0.07550647199188361,0.002542734146118164,0.0024058955167324094,relu,0.0001,"(50, 10)",adaptive,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.011831939506943253,1
16,0.7072004795074462,0.12471777635302109,0.0015524864196777345,0.00036791231762608084,relu,0.0001,"(50, 10)",invscaling,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.011831939506943253,1
15,0.5767776012420655,0.09355801855831682,0.0015908241271972655,0.0008779109848227083,relu,0.0001,"(50, 10)",constant,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.011831939506943253,1
6,0.7046718120574951,0.05320515419818426,0.011600446701049805,0.01937126917904126,relu,1e-06,"(50, 10)",constant,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.011831939506943253,1
7,0.6847149848937988,0.02909016619388088,0.001953887939453125,0.0005922923579202236,relu,1e-06,"(50, 10)",invscaling,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.011831939506943253,1
8,0.7163456439971924,0.06400946056840422,0.0015057086944580077,0.00038753250238358715,relu,1e-06,"(50, 10)",adaptive,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.011831939506943253,1
26,0.4633223533630371,0.03598900290786836,0.0012528419494628907,0.00020095229275802755,relu,0.01,"(50, 10)",adaptive,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.5567010309278351,0.577319587628866,0.5806451612903226,0.5777777777777778,0.5918367346938774,0.5768560584637358,0.01136721180674047,7
25,0.4624503135681152,0.035631350203083646,0.0016207695007324219,0.00037833111745963,relu,0.01,"(50, 10)",invscaling,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.5567010309278351,0.577319587628866,0.5806451612903226,0.5777777777777778,0.5918367346938774,0.5768560584637358,0.01136721180674047,7
24,0.471096134185791,0.03352410160452009,0.001454925537109375,0.0003749921083454251,relu,0.01,"(50, 10)",constant,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.5567010309278351,0.577319587628866,0.5806451612903226,0.5777777777777778,0.5918367346938774,0.5768560584637358,0.01136721180674047,7
11,1.1635283946990966,0.21100646296691278,0.004355239868164063,0.0018777495797947228,relu,0.0001,"(100,)",adaptive,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.5274725274725274,0.5161290322580644,0.6458333333333334,0.5714285714285714,0.5934065934065934,0.570854011579818,0.04692040980598497,10
0,1.158625555038452,0.16099105623770016,0.0025144100189208986,0.00101911596364709,relu,1e-06,"(100,)",constant,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.5274725274725274,0.5161290322580644,0.6458333333333334,0.5714285714285714,0.5934065934065934,0.570854011579818,0.04692040980598497,10
9,1.0141510963439941,0.07012211585852746,0.001316070556640625,5.82290218497359e-05,relu,0.0001,"(100,)",constant,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.5274725274725274,0.5161290322580644,0.6458333333333334,0.5714285714285714,0.5934065934065934,0.570854011579818,0.04692040980598497,10
