,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.6074999809265137,0.10648911774287882,0.0023776531219482423,0.0004843306773297226,relu,1e-06,"(50, 10)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",0.6981132075471698,0.6336633663366336,0.6122448979591838,0.6530612244897959,0.7692307692307692,0.6732626931127104,0.0557257517535612,1
7,0.6891406059265137,0.057265319023151594,0.002065753936767578,0.0010052251236631823,relu,1e-06,"(50, 10)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",0.6981132075471698,0.6336633663366336,0.6122448979591838,0.6530612244897959,0.7692307692307692,0.6732626931127104,0.0557257517535612,1
8,0.802564001083374,0.0822335977215428,0.0016733169555664062,0.00016759911074018066,relu,1e-06,"(50, 10)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",0.6981132075471698,0.6336633663366336,0.6122448979591838,0.6530612244897959,0.7692307692307692,0.6732626931127104,0.0557257517535612,1
17,0.6810830116271973,0.09682595381189045,0.0025931835174560548,0.001218351520468466,relu,0.0001,"(50, 10)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",0.6851851851851852,0.6336633663366336,0.6122448979591838,0.6530612244897959,0.7692307692307692,0.6706770886403135,0.05480505093441699,4
16,0.7381211757659912,0.08827576826373577,0.0033162593841552734,0.0007128699503596769,relu,0.0001,"(50, 10)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",0.6851851851851852,0.6336633663366336,0.6122448979591838,0.6530612244897959,0.7692307692307692,0.6706770886403135,0.05480505093441699,4
15,0.7804070472717285,0.1966652741647564,0.002610588073730469,0.0009239563085167884,relu,0.0001,"(50, 10)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",0.6851851851851852,0.6336633663366336,0.6122448979591838,0.6530612244897959,0.7692307692307692,0.6706770886403135,0.05480505093441699,4
26,0.584349536895752,0.04130009084789173,0.0017476081848144531,0.00044428351281820767,relu,0.01,"(50, 10)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",0.6851851851851852,0.6470588235294118,0.5918367346938775,0.6530612244897959,0.7692307692307692,0.6692745474258079,0.058305093672862865,7
25,0.5623708248138428,0.03260507262868942,0.0024784564971923827,0.0014743405629089274,relu,0.01,"(50, 10)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",0.6851851851851852,0.6470588235294118,0.5918367346938775,0.6530612244897959,0.7692307692307692,0.6692745474258079,0.058305093672862865,7
24,0.6414848804473877,0.0827483511803687,0.0016804218292236328,0.00017491101944015793,relu,0.01,"(50, 10)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",0.6851851851851852,0.6470588235294118,0.5918367346938775,0.6530612244897959,0.7692307692307692,0.6692745474258079,0.058305093672862865,7
20,0.6910445690155029,0.026395215872089723,0.002092933654785156,0.00036957158049218906,relu,0.01,"(100,)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",0.6666666666666666,0.6274509803921569,0.5918367346938775,0.6875,0.7722772277227723,0.6691463218950947,0.061146158837881,10
19,0.8243561744689941,0.09690671777724552,0.002505636215209961,0.0009758073897416764,relu,0.01,"(100,)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'invscaling'}",0.6666666666666666,0.6274509803921569,0.5918367346938775,0.6875,0.7722772277227723,0.6691463218950947,0.061146158837881,10
18,0.8311540126800537,0.09395848031863496,0.002651548385620117,0.0009440019852158778,relu,0.01,"(100,)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",0.6666666666666666,0.6274509803921569,0.5918367346938775,0.6875,0.7722772277227723,0.6691463218950947,0.061146158837881,10
