,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,157.4241084098816,195.59445579743428,0.0021196842193603516,0.0010886932574287465,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.4742268041237113,0.4615384615384615,0.5631067961165048,0.43749999999999994,0.42718446601941745,0.472711305559619,0.048189216740202434,1
8,263.32623224258424,128.07958869098783,0.002295255661010742,0.0002933288496366468,0.5,l1,liblinear,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.4528301886792452,0.4727272727272728,0.5178571428571428,0.44859813084112143,0.38,0.4544025470209564,0.04457394724745522,2
34,0.08150038719177247,0.006085853154450767,0.0023166656494140623,0.0011331584693936856,50,l2,liblinear,"{'C': 50, 'penalty': 'l2', 'solver': 'liblinear'}",0.4444444444444445,0.4727272727272728,0.495049504950495,0.4144144144144144,0.4000000000000001,0.4453271273073254,0.03531007285434195,3
18,0.07717065811157227,0.014508125046479055,0.0014381885528564453,0.0004563173502591865,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.4444444444444445,0.47706422018348627,0.5098039215686274,0.4144144144144144,0.3689320388349514,0.4429318078891848,0.048843416704828384,4
2,0.06370348930358886,0.0044644025130089835,0.00145111083984375,0.000702183906823582,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.4444444444444445,0.47169811320754723,0.5148514851485149,0.411214953271028,0.3689320388349514,0.4422282069812972,0.049963342129735515,5
26,0.07919669151306152,0.014608400846080404,0.002081012725830078,0.0008805936122106885,10,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.4444444444444445,0.4727272727272728,0.495049504950495,0.38888888888888884,0.37254901960784315,0.43473182612378886,0.04721120124886705,6
16,139.3161587715149,51.20831797015334,0.0042534351348876955,0.003630996992733501,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.44859813084112143,0.44036697247706424,0.5090909090909091,0.4150943396226415,0.3333333333333333,0.4292967370730139,0.057048903148013946,7
10,0.07628517150878907,0.0028874204263420944,0.0016005992889404296,0.0009379332672683809,0.5,l2,liblinear,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.4444444444444445,0.4684684684684684,0.48,0.40366972477064217,0.3495145631067961,0.42921944015807023,0.04765838356223943,8
32,4.061916351318359,0.21604144574287146,0.0060370445251464845,0.005227825162621665,50,l1,liblinear,"{'C': 50, 'penalty': 'l1', 'solver': 'liblinear'}",0.23404255319148937,0.3619047619047619,0.36000000000000004,0.30769230769230765,0.25,0.3027279245577118,0.053487471564195435,9
24,6.3346093654632565,0.47182155789446856,0.0022126197814941405,0.0008335162572912818,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.24489795918367346,0.2884615384615385,0.3434343434343434,0.3137254901960784,0.31250000000000006,0.30060386625512675,0.03285948567833467,10
33,2.4935451984405517,0.01846365703691848,0.002298593521118164,0.0014341104772008827,50,l1,saga,"{'C': 50, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
31,1.798960018157959,0.008535091480872519,0.003975439071655274,0.00460105747658021,10,,saga,"{'C': 10, 'penalty': None, 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
27,1.8201920986175537,0.0034864391563962744,0.0031206607818603516,0.0018035479351746666,10,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
17,2.8264920234680178,0.06666303147154479,0.002277565002441406,0.0007155054197025402,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
25,2.5274322032928467,0.026557436589973168,0.0027588844299316407,0.002351204438139957,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
23,1.8155749797821046,0.007894011004048363,0.006740093231201172,0.003653197736137518,1,,saga,"{'C': 1, 'penalty': None, 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
