,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.025812721252441405,0.0058921923580793805,0.0039642333984375,0.0008732884994913633,0.1,l1,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6185567010309279,0.62,0.553191489361702,0.5909090909090909,0.6250000000000001,0.6015314562603442,0.02694923248643395,1
1,0.6428730964660645,0.014919650890996354,0.014822053909301757,0.0030374650618093415,0.1,l1,saga,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.6236559139784946,0.6458333333333334,0.5454545454545454,0.5813953488372093,0.5869565217391305,0.5966591326685426,0.034916934915801376,2
8,0.03610677719116211,0.007112566576055375,0.003991174697875977,0.0009808712741262156,0.5,l1,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6346153846153846,0.5684210526315789,0.5806451612903226,0.5274725274725274,0.6530612244897959,0.5928430700999219,0.04558439236855699,3
24,0.045483064651489255,0.0044907331790085105,0.0017231464385986327,0.0005333969508623841,10,l1,liblinear,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6538461538461539,0.5319148936170213,0.5714285714285715,0.5376344086021505,0.631578947368421,0.5852805949724637,0.04930458196008795,4
16,0.037972640991210935,0.004121308979934327,0.0020031452178955076,0.0007432719970924958,1,l1,liblinear,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6346153846153846,0.5161290322580644,0.5714285714285715,0.5494505494505494,0.6458333333333334,0.5834913742171807,0.049683313862426706,5
9,2.9447139263153077,0.1250028356199404,0.01256403923034668,0.0007472884721166893,0.5,l1,saga,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5858585858585857,0.5434782608695652,0.5747126436781609,0.5227272727272727,0.6382978723404256,0.5730149270948021,0.03957516288145925,6
32,0.03361778259277344,0.0035386918709284162,0.0011997222900390625,0.0005288839936713157,50,l1,liblinear,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6213592233009708,0.5168539325842696,0.5681818181818181,0.5411764705882354,0.6021505376344087,0.5699443964579405,0.03828842525913872,7
17,3.0283041477203367,0.03433481776023108,0.00934901237487793,0.002433231391290329,1,l1,saga,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.6041666666666666,0.5111111111111112,0.5411764705882354,0.5,0.6382978723404256,0.5589504241412877,0.05370324371278097,8
25,3.0981318950653076,0.05593567241459441,0.004265117645263672,0.003540838844649719,10,l1,saga,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.4,0.43037974683544306,0.2894736842105263,0.3888888888888889,0.2535211267605634,0.3524526893390843,0.06843212526287686,9
34,0.041991376876831056,0.00797603412215358,0.003589820861816406,0.0007388247386197527,50,l2,liblinear,"{'lr__C': 50, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.3684210526315789,0.36585365853658536,0.3055555555555556,0.3116883116883117,0.2647058823529412,0.32324489215299457,0.03931838068380526,10
