,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
193,0.09210724830627441,0.00233538710694167,0.017218303680419923,0.000808072472471137,10,ovo,3,auto,poly,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
65,0.09087419509887695,0.0007469395265621687,0.01672816276550293,0.00018329529806701347,0.5,ovo,3,auto,poly,"{'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
257,0.09191288948059081,0.0010619844017441262,0.017154693603515625,0.000640678341880584,50,ovo,3,auto,poly,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
97,0.09118099212646484,0.0007959279429663426,0.016851091384887697,0.00018008950805019832,0.5,ovr,3,auto,poly,"{'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
289,0.09056801795959472,0.00044246766431263614,0.016649866104125978,8.56599964825131e-05,50,ovr,3,auto,poly,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
33,0.09316143989562989,0.0014591915497237967,0.01701674461364746,0.00031131436376002707,0.1,ovr,3,auto,poly,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
225,0.09081621170043945,0.00045333403922389,0.01671113967895508,6.367474233023332e-05,10,ovr,3,auto,poly,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
161,0.09040946960449218,0.00044385408892320125,0.016632509231567384,9.04948991014737e-05,1,ovr,3,auto,poly,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
129,0.09095535278320313,0.0004931879633465021,0.016648244857788087,8.388830125400439e-05,1,ovo,3,auto,poly,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
1,0.09211945533752441,0.001010718948889968,0.016995573043823244,0.0002807495384062043,0.1,ovo,3,auto,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.47058823529411764,0.4615384615384615,0.5490196078431373,0.5333333333333333,0.5050505050505051,0.503906028611911,0.03408107161410425,1
