,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2935039520263672,0.0069330934264452,0.004937458038330078,0.0005731715416600144,sqrt,2,50,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.693069306930693,0.7474747474747474,0.7872340425531916,0.7415730337078651,0.8000000000000002,0.7538702261332995,0.037762349364930246,10
1,0.5857465267181396,0.012604907450056314,0.007249212265014649,0.00045693863588532274,sqrt,2,100,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.7,0.7450980392156863,0.8080808080808081,0.8210526315789474,0.8080808080808082,0.77646245739125,0.046514423467447844,1
2,0.8817417621612549,0.03052210776084154,0.00922236442565918,0.0004227237813681841,sqrt,2,150,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.6666666666666666,0.7524752475247525,0.8041237113402062,0.7999999999999999,0.8000000000000002,0.7646531251063251,0.05254783924593503,9
3,0.29034810066223143,0.015659350696482027,0.004424476623535156,0.00042788951504669034,sqrt,4,50,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 50}",0.6666666666666666,0.76,0.7551020408163265,0.7872340425531915,0.7916666666666667,0.7521338833405702,0.04510031709499189,12
4,0.5830676078796386,0.027622536908896794,0.006669855117797852,0.000333554207829601,sqrt,4,100,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.712871287128713,0.7547169811320756,0.7755102040816325,0.8247422680412372,0.8118811881188118,0.775944385700494,0.040253432327763815,2
5,0.8758039474487305,0.021333918308111932,0.009445524215698243,0.0003476635580114329,sqrt,4,150,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 150}",0.712871287128713,0.7777777777777777,0.7843137254901961,0.7956989247311828,0.7959183673469388,0.7733160164949616,0.031004138659845755,4
6,0.10540566444396973,0.001473937028058477,0.0037469863891601562,1.8988060384102773e-05,log2,2,50,"{'rf__max_features': 'log2', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.693069306930693,0.7843137254901961,0.7142857142857144,0.7500000000000001,0.82,0.7523337493413207,0.04597132550734036,11
7,0.22982277870178222,0.008298393848304364,0.0076411724090576175,0.0008218791955650883,log2,2,100,"{'rf__max_features': 'log2', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.6938775510204083,0.803921568627451,0.7647058823529412,0.7777777777777777,0.8118811881188118,0.7704327935794779,0.04192116155940798,8
8,0.32189431190490725,0.01694520463061752,0.009227275848388672,0.0009067895277919629,log2,2,150,"{'rf__max_features': 'log2', 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.686868686868687,0.796116504854369,0.7647058823529412,0.7640449438202247,0.8431372549019608,0.7709746545596365,0.05099153992879831,6
9,0.10477986335754394,0.0005863954386238117,0.003683614730834961,1.6108629158399365e-05,log2,4,50,"{'rf__max_features': 'log2', 'rf__min_samples_split': 4, 'rf__n_estimators': 50}",0.7254901960784313,0.7924528301886793,0.7647058823529412,0.7777777777777777,0.803921568627451,0.7728696510050561,0.02714137826689101,5
10,0.216019868850708,0.010725947282559696,0.007058954238891602,0.0008190745502093827,log2,4,100,"{'rf__max_features': 'log2', 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.7,0.7924528301886793,0.7850467289719627,0.7956989247311828,0.803921568627451,0.7754240105038551,0.03819565875068419,3
11,0.32770256996154784,0.006074296213728558,0.009984064102172851,0.0003506043060516953,log2,4,150,"{'rf__max_features': 'log2', 'rf__min_samples_split': 4, 'rf__n_estimators': 150}",0.7254901960784313,0.7962962962962963,0.7647058823529412,0.7472527472527474,0.82,0.7707490243960832,0.03380910482552811,7
