,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
69,0.1818540573120117,0.0010743119628789828,0.04394707679748535,0.0005850869771288812,0.5,ovo,3,scale,poly,"{'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6929133858267715,0.7086614173228346,0.5954198473282442,0.7096774193548386,0.6821705426356589,0.6777685224936695,0.042432529073888926,1
101,0.18191022872924806,0.0032667634376101823,0.044469022750854494,0.0013540168616890664,0.5,ovr,3,scale,poly,"{'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6929133858267715,0.7086614173228346,0.5954198473282442,0.7096774193548386,0.6821705426356589,0.6777685224936695,0.042432529073888926,1
133,0.1722878932952881,0.002182391884440272,0.04192562103271484,0.0009031286133878851,1,ovo,3,scale,poly,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.7096774193548386,0.6833333333333333,0.5826771653543308,0.706896551724138,0.6880000000000001,0.6741168939533282,0.046857153744139506,3
165,0.17567124366760253,0.0016949968732693885,0.042729949951171874,0.0006436987551338356,1,ovr,3,scale,poly,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.7096774193548386,0.6833333333333333,0.5826771653543308,0.706896551724138,0.6880000000000001,0.6741168939533282,0.046857153744139506,3
197,0.20310792922973633,0.0021747444997462875,0.04026360511779785,0.001128202595135164,10,ovo,3,scale,poly,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6785714285714285,0.6792452830188679,0.5964912280701754,0.673076923076923,0.7307692307692308,0.6716308187013251,0.043015237328666245,5
229,0.201005220413208,0.0019284104246281462,0.039696788787841795,0.0005552020151467057,10,ovr,3,scale,poly,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6785714285714285,0.6792452830188679,0.5964912280701754,0.673076923076923,0.7307692307692308,0.6716308187013251,0.043015237328666245,5
262,0.22257595062255858,0.0018613751653485614,0.06927118301391602,0.00116921706644286,50,ovo,3,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
286,0.2254539966583252,0.00282857599156598,0.06962218284606933,0.00102383433483713,50,ovo,20,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
254,0.22155981063842772,0.00208093102972503,0.06905579566955566,0.000977204424295463,10,ovr,20,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
246,0.22153663635253906,0.002025276003030588,0.06899418830871581,0.000996512423721029,10,ovr,10,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
238,0.2229170322418213,0.0026098894993559765,0.0692591667175293,0.000993739952217019,10,ovr,5,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
294,0.22266726493835448,0.0019257265395509673,0.06918177604675294,0.0010000502993508273,50,ovr,3,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
230,0.22235379219055176,0.0023275476727588882,0.06950373649597168,0.0011149923494340906,10,ovr,3,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
222,0.22629451751708984,0.0019130273266859759,0.07058224678039551,0.0008536381450235877,10,ovo,20,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
214,0.2236476421356201,0.0030504559310440544,0.06965761184692383,0.001236972410474802,10,ovo,10,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
206,0.22502646446228028,0.002909903782594461,0.06970953941345215,0.0010370831866397508,10,ovo,5,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
198,0.2262571334838867,0.003724809783157753,0.06970839500427246,0.0013621081774824186,10,ovo,3,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
302,0.22241611480712892,0.002200492205136154,0.06916379928588867,0.001090891132461991,50,ovr,5,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
310,0.22212276458740235,0.0019987120770779453,0.06918625831604004,0.0010267411489856607,50,ovr,10,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
318,0.22404894828796387,0.0010060224162958416,0.06987366676330567,0.0006906217872063022,50,ovr,20,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
270,0.2217306137084961,0.002129344616980659,0.06930084228515625,0.001142034076662519,50,ovo,5,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
278,0.22772955894470215,0.0015759266810206815,0.07028322219848633,0.0008135861688402873,50,ovo,10,scale,rbf,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6990291262135921,0.6041666666666666,0.5999999999999999,0.6516853932584269,0.7692307692307692,0.664822391073891,0.06344265151737036,7
