,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0,1,Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,4
1,2,Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,2025290942.0,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
2,3,The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,1608119040.0,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4
3,4,Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,2206854528.0,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4
4,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",7ytR5pFWmSjzHJIeQkgog4,1514383039.0,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4
5,6,Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,1358296305.0,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4
6,7,Life Is Good (feat. Drake),"Future, Drake",5yY9lUy8nbvjM1Uyo1Uqoc,2020.0,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,4
7,8,Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4
8,9,The Bones,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,412053799.0,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,4
9,10,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2735355999.0,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4
10,11,Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4
11,12,I Hope (feat. Charlie Puth),"Gabby Barrett, Charlie Puth",5cYFwgA5dHoqR3xGnlr9ew,81170094.0,0.563,0.576,6,-6.495,1,0.0401,0.171,0.0,0.158,0.412,75.019,4
12,13,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",2MbdDtCv5LUVjYy9RuGTgC,,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,4
13,14,Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,2796460653.0,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,4
14,15,Savage,Megan Thee Stallion,55CHeLEfn5iJ0IIkgaa4si,,0.843,0.741,11,-5.609,1,0.334,0.0252,0.0,0.096,0.68,168.983,4
15,16,ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,1357587617.0,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,5
16,17,Intentions (feat. Quavo),"Justin Bieber, Quavo",4umIPjkehX1r7uhmGvXiSV,,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,4
17,18,everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,1300487986.0,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
18,19,Roses - Imanbek Remix,"SAINt JHN, Imanbek",24Yi9hE78yPEbZ4kxyoXAI,1739913247.0,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4
19,20,Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2189080780.0,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4
20,21,Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,1508077893.0,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,4
21,22,Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,1420836795.0,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,4
22,23,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",2wrJq5XKLnmhRXHIAf9xBa,918909109.0,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,4
23,24,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",4Oun2ylbjFKMPTiaSbbCih,1168495026.0,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4
24,25,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",3QzAOrNlsabgbMwlZt7TAY,750048913.0,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,4
25,26,hot girl bummer,blackbear,2mt1IqcFyY1zmYZT8Q3xw9,1138167374.0,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,1
26,27,Blueberry Faygo,Lil Mosey,6wJYhPfqk3KGhHRG76WzOh,1149393905.0,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,4
