,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0,1,Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,3442631151.0,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
1,2,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6rPO02ozF3bM7NnOV4h6s2,1609787607.0,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,4
2,3,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,1615367900.0,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,4
3,4,HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,1843054912.0,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4
4,5,Something Just Like This,"The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,2097247557.0,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
5,6,Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",4Km5HrUvYTaSUfiSGPJeQR,,0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,4
6,7,Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,2510636903.0,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,4
7,8,Body Like A Back Road,Sam Hunt,7mldq42yDuxiUNn08nvzHO,751827142.0,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,4
8,9,Believer,Imagine Dragons,1NtIMM4N0cFa1dNzN15chl,2459980495.0,0.772,0.78,10,-4.288,0,0.108,0.0512,0.0,0.119,0.719,124.988,4
9,10,Congratulations,"Post Malone, Quavo",3a1lNhkSLSkpJE4MSHpDu9,,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,4
10,11,Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,2312007742.0,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4
11,12,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",3DXncPQOG4VBw3QHh3S817,,0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,4
