,Song Names,Song IDs,Streams
0,God's Plan,6DCZcSspjsKoFjzjrWoCdn,
1,Perfect,0tgVpDi06FyKpA1z0VMD4v,2416891941.0
2,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,1236502647.0
3,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,1876805734.0
4,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2648149444.0
5,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,
6,I Like It,58q2HKrzhC3ozto2nDdN4z,1481045215.0
7,The Middle,09IStsImFySgyp0pIQdqAc,1336197124.0
8,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,
9,Girls Like You (feat. Cardi B) - Cardi B Version,6FRLCMO5TUHTexlWo8ym1W,
10,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,
11,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,2208604435.0
12,Better Now,7dt6x5M1jzdTEt8oCbisTK,
13,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,
14,Boo'd Up,4squZv12LD9M8ooJfoVgZS,327994723.0
15,New Rules,2ekn2ttSfGqwhhate0LSR0,
16,SAD!,3ee8Jmje8o58CHK66QrVC2,
17,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,
18,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,2018.0
19,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,
20,Mine,7uzmGiiJyRfuViKKK3lVmR,955398760.0
21,Thunder,1zB4vmk8tFRmM9UULNzbLB,
22,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,914126084.0
23,Delicate,6NFyWDv5CjfwuzoCkw47Xf,
24,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,
25,FRIENDS,08bNPGLD8AhKpnnERrAc6G,
26,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,
27,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,1211060844.0
28,Let You Down,52okn5MNA47tk87PeZJLEL,1281424186.0
29,No Limit,2Xqd0wUttjueBfdcltADOv,616303076.0
30,FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,
31,Tequila,7Il2yWQmsqKgSkLQvHTPUI,527637172.0
32,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,1106911134.0
33,MotorSport,4wFjTWCunQFKtukqrNijEt,
34,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,1550420080.0
35,Youngblood,2iUXsYOEPhVqEBwsqP70rE,1528181930.0
36,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,
37,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,1177212776.0
38,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,
39,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,
40,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,
41,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,
42,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,690712729.0
43,Gucci Gang,43ZyHQITOjhciSUUNPVRHc,
44,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,773306796.0
45,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,
46,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,1229147620.0
47,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,577695661.0
48,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,1701844369.0
49,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,
50,This Is America,0b9oOr2ZgvyQu88wzixux9,
51,Nonstop,0TlLq3lA83rQOYtrqBqSct,
52,Heaven,1HXy5I3HTWq8OvxCn0z7G7,424305544.0
53,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,
54,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,622825020.0
55,GUMMO,4HbiCvH1R7mVOJ7KY7JQBD,
56,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,606475493.0
57,Wait,6AvfZXpbb6r35DfF7gHPRq,
58,Be Careful,2Yl4OmDby9iitgNWZPwxkd,
59,Wolves,0tBbt8CrmxbjRP0pueQkyU,1215644926.0
60,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,
61,God is a woman,5OCJzvD7sykQEKHH7qAC3C,
62,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,
63,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,1065847790.0
64,How Long,6wmAHw1szh5RCKSRjiXhPe,
65,Lights Down Low,6TFO7bRauf2CEXh9qy2QcY,334374120.0
66,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,
67,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,1795103348.0
68,Natural,2FY7b99s15jUprqC0M5NCT,
69,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,385163988.0
70,Shape of You,7qiZfU4dY1lWllzX7mPBI3,3442631151.0
71,I Get the Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,498474276.0
72,No Brainer,5WvAo7DNuPRmk4APhdPzi8,
73,Plain Jane REMIX (feat. Nicki Minaj),2YzmfPLqUx5CJOaw5ThsBV,260016384.0
74,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,
75,Marry Me,0OWZFobGSIW9GrSlQ9C5pc,321081390.0
76,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,1465087313.0
77,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop,
78,"King's Dead (with Kendrick Lamar, Future & James Blake)",1eLSF6HfrRA0AsNmTkUlKx,535788132.0
79,Happier,2dpaYNEQHiRxtZbfNsse99,1840171716.0
80,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,1061037250.0
81,Simple,1co0puPTYvqAdUEjFOjne9,
82,Lemon,4PpuH4mxL0rD35mOWaLoKS,159210178.0
83,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,1230584677.0
84,Say Something (feat. Chris Stapleton),1LhMopPAallLeaeNutqbgS,
85,I'm Upset,3qN5qMTKyEEmiTZD38BNTT,
86,Get Along,2ZFrEp20VO25BXYhMxh0GW,187318852.0
87,Moonlight,0JP9xo3adEtGSdUEISiszL,
88,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF,
89,X,39N9RPD9MRb5WmoLzNzPeA,879245906.0
90,Outside Today,5PIfH6BzcmH04RDmtzF0BN,284338299.0
91,Trip,6CTWathupIiDs7U4InHnDA,420728911.0
92,Dura,6KuqAtoeVzxAYOaMveLNpH,
93,changes,7AFASza1mXqntmGtbxXprO,
94,Mercy,2VIPU72L6tIR4w8J8ap6Kp,200943072.0
95,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,
96,Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,
97,IDGAF,76cy1WJvNGJTj78UqeA5zr,
98,Mi Gente (feat. Beyoncé),1DoK3CdipMjplLk5LXUdcp,
99,Believer,0pqnGHJpmpxLKifKRmU6WP,2459980495.0
